ID	LABEL	FNDDS1112	FNDDS1314
FNDDS_11513802	Chocolate milk, made from light syrup with reduced fat milk (2%)		11513802
FNDDS_11513803	Chocolate milk, made from light syrup with low fat milk (1%)		11513803
FNDDS_11513804	Chocolate milk, made from light syrup with fat free milk (skim)		11513804
FNDDS_11513805	Chocolate milk, made from light syrup with non-dairy milk		11513805
FNDDS_11513850	Chocolate milk, made from sugar free syrup, NS as to type of milk 		11513850
FNDDS_11513851	Chocolate milk, made from sugar free syrup with whole milk		11513851
FNDDS_11513852	Chocolate milk, made from sugar free syrup with reduced fat milk (2%)		11513852
FNDDS_11513853	Chocolate milk, made from sugar free syrup with low fat milk (1%)		11513853
FNDDS_11513854	Chocolate milk, made from sugar free syrup with fat free milk (skim)		11513854
FNDDS_11513855	Chocolate milk, made from sugar free syrup with non-dairy milk		11513855
FNDDS_11514100	Hot chocolate / Cocoa, made with dry mix and water	11514100	11514100
FNDDS_11514110	Hot chocolate / Cocoa, made with dry mix and whole milk		11514110
FNDDS_11514120	Hot chocolate / Cocoa, made with dry mix and reduced fat milk (2%)		11514120
FNDDS_11514130	Hot chocolate / Cocoa, made with dry mix and low fat milk (1%)		11514130
FNDDS_11514140	Hot chocolate / Cocoa, made with dry mix and fat free milk (skim)		11514140
FNDDS_11514150	Hot chocolate / Cocoa, made with dry mix and non-dairy milk		11514150
FNDDS_11514310	Hot chocolate / Cocoa, made with no sugar added dry mix and water	11514300	11514310
FNDDS_11514320	Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk		11514320
FNDDS_11514330	Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk (2%)		11514330
FNDDS_11514340	Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk (1%)		11514340
FNDDS_11514350	Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk (skim)		11514350
FNDDS_11514360	Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk		11514360
FNDDS_11514500	Cocoa, whey, and low calorie sweetener, mixture, fortified, water added	11514500	
FNDDS_11515100	Cocoa and sugar mixture fortified with vitamins and minerals, milk added, NS as to type of milk, Puerto Rican style	11515100	
FNDDS_11518050	Milk beverage with nonfat dry milk and low calorie sweetener, water added, flavors other than chocolate	11518050	
FNDDS_11519040	Strawberry milk, NFS	11519040	11519040
FNDDS_11519050	Strawberry milk, whole	11519050	11519050
FNDDS_11519105	Strawberry milk, reduced fat (2%)	11519105	11519105
FNDDS_11519200	Strawberry milk, low fat (1%)	11519200	11519200
FNDDS_11519205	Strawberry milk, fat free (skim)	11519205	11519205
FNDDS_11519215	Strawberry milk, non-dairy		11519215
FNDDS_11520000	Milk, malted, unfortified, NS as to flavor, made with milk	11520000	
FNDDS_11521000	Milk, malted, unfortified, chocolate, made with milk	11521000	
FNDDS_11522000	Milk, malted, unfortified, natural flavor, made with milk	11522000	
FNDDS_11525000	Milk, malted, natural flavor, made with milk	11525000	11525000
FNDDS_11526000	Milk, malted, chocolate, made with milk	11526000	11526000
FNDDS_11531000	Eggnog, regular	11531000	11531000
FNDDS_11531500	Eggnog, lowfat / light	11531500	11531500
FNDDS_11541000	Milk shake, NS as to flavor or type	11541000	
