ID	LABEL	SR26	SR27	SR28
SR_1220	Yogurt, vanilla, low fat, 11 grams protein per 8 ounce, fortified with vitamin D	1220	1220	1220
SR_1221	Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener, fortified with vitamin D	1221	1221	1221
SR_1222	Yogurt, chocolate, nonfat milk, fortified with vitamin D	1222	1222	1222
SR_1223	Protein supplement, milk based, Muscle Milk, powder	1223	1223	1223
SR_1224	Protein supplement, milk based, Muscle Milk Light, powder	1224	1224	1224
SR_1225	Dulce de Leche	1225	1225	1225
SR_1226	Egg substitute, liquid or frozen, fat free	1226	1226	1226
SR_1227	Cheese, dry white, queso seco	1227	1227	1227
SR_1228	Cheese, fresh, queso fresco	1228	1228	1228
SR_1229	Cheese, white, queso blanco	1229	1229	1229
SR_1230	Milk, buttermilk, fluid, whole	1230	1230	1230
SR_1231	Yogurt, vanilla flavor, lowfat milk, sweetened with low calorie sweetener	1231	1231	1231
SR_1235	Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener	1235	1235	1235
SR_1236	Ice cream, soft serve, chocolate	1236	1236	1236
SR_1237	Ice cream, bar or stick, chocolate covered	1237	1237	1237
SR_1238	Ice cream sandwich	1238	1238	1238
SR_1239	Ice cream cookie sandwich	1239	1239	1239
SR_1240	Ice cream cone, chocolate covered, with nuts, flavors other than chocolate	1240	1240	1240
SR_1241	Ice cream sandwich, made with light ice cream, vanilla	1241	1241	1241
SR_1242	Ice cream sandwich, vanilla, light, no sugar added	1242	1242	1242
SR_1243	Fat free ice cream, no sugar added, flavors other than chocolate	1243	1243	1243
SR_1244	Milk dessert bar, frozen, made from lowfat milk	1244	1244	1244
SR_1250	Nutritional supplement for people with diabetes, liquid	1250	1250	1250
SR_1251	Cheese, Mexican blend	1251	1251	1251
SR_1252	Cheese product, pasteurized process, American, vitamin D fortified	1252	1252	1252
SR_1253	Cheese, pasteurized process, American, without added vitamin D	1253	1253	1253
SR_1254	Cheese food, pasteurized process, American, without added vitamin D	1254	1254	1254
SR_1255	Egg, whole, raw, frozen, salted, pasteurized	1255	1255	1255
SR_1256	Yogurt, Greek, plain, nonfat	1256	1256	1256
SR_1258	Egg, white, dried, stabilized, glucose reduced	1258	1258	1258
SR_1259	Cheese spread, American or Cheddar cheese base, reduced fat	1259	1259	1259
